issuer_organization,credit_grade,option_adjusted_spread,holding_type,primary_sector,region_development_status
Federal Home Loan Mortgage Corp.,Investment Grade,38.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,2086.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,384.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
,Below Investment Grade,,Bond - Bank Loans,Bank Loan,
Government National Mortgage Association,Investment Grade,41.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,151.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,57.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,117.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,133.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,26.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Greenpoint Mtg Fdg,Below Investment Grade,,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,40.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,60.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,10.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,-1.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,55.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,25.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,240.0,Bond - U.S. Agency Credit Risk CMO,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,114.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,60.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Fnma Pass-Thru I,,66.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,22.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,70.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,96.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,44.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,66.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,54.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,60.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,14.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,61.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,-14.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,149.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
"Charter Communications Operating, LLC/Charter Communications Operating Capital Corp.",Investment Grade,220.0,Bond - Corporate Bond,Corporate Bond,Developed
Federal National Mortgage Association,Investment Grade,26.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,1452.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,47.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,58.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,95.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,88.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,59.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,66.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,94.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,134.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,70.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,139.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,110.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,86.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,85.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,43.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,107.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,113.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
APA Corp.,Below Investment Grade,152.0,Bond - Corporate Bond,Corporate Bond,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,45.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,49.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,40.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,39.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,-13.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,48.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,12922.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,117.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,123.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,94.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,109.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,58.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,53.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,100.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,38.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,56.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,58.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Gnma Pass-Thru M Single Family,Investment Grade,18.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,27.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,55.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,71.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,38.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,377.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,118.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,112.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,58.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,72.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,301.0,Bond - Gov't Agency ARM,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,64.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,39.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,112.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,87.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,141.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,49.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,50.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,50.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,50.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,44.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,111.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,120.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,1894.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,43.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,55.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,43.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,74.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,57.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,59.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,50.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,50.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,28.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,60.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,29.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,145.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,56.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,117.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,62.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,159.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Pfizer Inc.,Investment Grade,89.0,Bond - Corporate Bond,Corporate Bond,Developed
Morgan Stanley ML,Investment Grade,483.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,45.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,1708.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,131.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,61.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,5607.0,Bond - U.S. Agency Credit Risk CMO,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,-60.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,81.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,118.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
,Investment Grade,,Bond - Bank Loans,Bank Loan,
Federal Home Loan Mortgage Corp.,Investment Grade,37.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,38.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,43.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,43.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,60.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,114.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,140.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,120.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,88.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,42.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,-6.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,86.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
